Sign,H1 FingerSelection,H1 Aperture,H1 Curve,H1 Bent,H1 Facing,H1 Focus,H1 Width,Dynamic Orientation,Location,Plane,Settings,Path,H2 FingerSelection,H2 Aperture,H2 Curve,H2 Bent,H2 Width,H2 Facing,H2 Focus,Manner,H1 Focus_2,H1 Facing_2
очищать,all,absent,straight,straight,palm,ulnar,pointed,absent,hand-palm,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,back,absent,tense,,
карабкаться,all,absent,curved,straight,palm,tips,wide,absent,virtual object; space,parallel,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; repeated; alternating,,
совпадать,1-st,absent,straight,straight,palm,tips,absent,absent,space,parallel,ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; repeated,,
рухнуть,1-st; 2-nd,absent,straight,straight,back,tips,wide,prone-supine,hand-palm,horisontal,far-near,circle-clock,absent,absent,absent,absent,absent,absent,absent,absent,,
приходить,1-st; 2-nd,absent,curved,straight,palm,tips,wide,supine-prone,hand-narrow,parallel,far-near,arc,absent,absent,absent,absent,absent,absent,absent,absent,,
согласиться,1-st; thumb,absent,straight,straight,ulnar,tips,absent,absent,space,horisontal,proxi-distal,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
начинать,1-st,absent,straight,straight,radial,tips,absent,absent,hand-palm,parallel,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
совершать,all,absent,straight,straight,ulnar,ulnar,pointed,absent,hand-palm,horisontal,far-near,sraight,absent,absent,absent,absent,absent,back,absent,tense,,
общаться,all,absent,straight,straight,palm,palm,pointed,absent,space,horisontal,distal-proxi,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating; biderectional,,
сопоставлять,1-st,absent,straight,straight,back,tips,absent,absent,space,parallel,ipsi-contra; high-low,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; repeated,,
думать,1-st,absent,straight,straight,palm,tips,absent,absent,head-high,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
ясно,all,absent,straight,straight,palm,root,wide,absent,virtual object; space,horisontal,distal-proxi,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; tense,,
учить,1-st; 2-nd,closed,straight,bent,radial,tips,pointed,absent,head-high,absent,ipsi-contra,arc,absent,absent,absent,absent,absent,absent,absent,repeated,,
проникать,all,absent,straight,straight,palm,tips,wide,absent,hand-palm,sagittal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; laceration,,
концентрироваться,all,absent,straight,straight,palm,tips,pointed,absent,head,absent,near-far,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; tense,,
беспокоиться,all,open,curved,straight,palm,radial,pointed,absent,trunk,absent,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating,,
судить,1-st,closed,curved,absent,ulnar,radial,absent,absent,space,horisontal,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating; biderectional,,
подтверждать,absent,absent,absent,absent,ulnar,ulnar,absent,absent,hand-palm,horisontal,near-far,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
здравствуйте,all,absent,absent,absent,tips,radial,pointed,absent,trunk,absent,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical,,
давать,all,open,straight,straight,ulnar,radial,pointed,absent,trunk,absent,near-far,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
соединять,1-st,absent,curved,straight,palm,tips,absent,supine-prone,hand-classifier; space,horisontal,far-near,arc,1-st,absent,curved,straight,absent,back,absent,symmetrical; crossed,,
захватывать,all,open-closed,curved,bent,palm,palm,wide-pointed,absent,space,horisontal,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; tense,,
освящать,1-st; 2-nd; 3-rd,closed-open,curved-straight,bent-straight,palm,ulnar,pointed-wide,absent,space,parallel,contra-ipsi; ,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
сберегать,all,open,curved,bent,palm,palm,wide,absent,virtual object,horisontal,far-near,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical; repeated,,
устанавливать,1-st; 2-nd; thumb,absent,straight,straight,palm,palm,wide,absent,hand-palm,horisontal,far-near,spiral,absent,absent,absent,absent,absent,back,absent,tense,,
сдерживать,absent,absent,absent,absent,absent,absent,absent,absent,trunk,absent,high-low; far-near,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
строить,1-st; 2-nd,absent,straight,straight,palm,back,pointed,absent,space,horisontal,low-high,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical; repeated; alternating; crossed,,
консультировать,1-st,closed,curved,straight,ulnar,tips,absent,absent,space,horisontal,proxi-distal,circle-clock,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating; crossed,,
потреблять,1-st,closed,curved,straight,absent,tips,absent,neutral-prone,trunk,absent,far-near,arc,absent,absent,absent,absent,absent,absent,absent,absent,,
сократить,1-st,absent,straight,straight,absent,palm,absent,prone-neutral,space,horisontal,ipsi-contra,arc,absent,absent,absent,absent,absent,absent,absent,tense; symmetrical,,
вкладывать,all,open-closed,straight,bent,radial,tips,wide-pointed,absent,hand-palm,sagittal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
контролировать,1-st; 2-nd,absent,straight,straight,tips,ulnar,wide,absent,space,horisontal,contra-ipsi; ipsi-contra; x-y,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; tense,,
собираться,all,closed-open,curved-straight,bent-straight,palm,tips,wide,absent,space,horisontal,ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
разговаривать,1-st,absent,straight,straight,radial,ulnar,absent,absent,head-low,absent,near-far,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating,,
конвертировать,1-st; 2-nd,absent,straight,straight,absent,absent,wide,prone-neutral,space,parallel,absent,absent,absent,absent,absent,absent,absent,absent,absent,symmetrical; alternating,,
убеждать,all,open-closed,straight,bent,back,tips,pointed,absent,space,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
копировать,1-st; 2-nd,open-closed,straight,bent,tips,absent,pointed,absent,hand-palm,horisontal,absent,absent,absent,absent,absent,absent,absent,back,absent,repeated,,
исправлять,1-st; 2-nd,closed,straight,bent,palm,tips,pointed,absent,hand-narrow; space,parallel,proxi-distal; x-y,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; repeated; biderectional,,
кашлять,all,absent,straight,bent,tips,absent,pointed,neutral-supine,trunk,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,repeated,,
считать,2-nd,absent,straight,bent,tips,tips,absent,absent,hand-palm,horisontal,far-near,iconic,absent,absent,absent,absent,absent,back,absent,repeated,,
подделывать,all,open-closed,straight,bent,radial,tips,pointed,absent,head,absent,ipsi-contra,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical; alternating,,
закрывать,all,absent,straight,straight,palm,radial,pointed,supine-prone,virtual object; space,parallel,ipsi-contra,iconic,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
ползать,all,absent,straight,straight,palm,tips,pointed,absent,space,horisontal,proxi-distal,arc,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating,,
обрезать,1-st; 2-nd,absent,straight,straight,ulnar,tips,wide-pointed,absent,virtual object; space,horisontal,ipsi-contra,iconic,absent,absent,absent,absent,absent,absent,absent,repeated,,
короновать,all,open,straight,straight,ulnar,ulnar,wide,absent,head-high,absent,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
мять,all,open-closed,straight-curved,straight-bent,palm,palm,wide-pointed,absent,virtual object,parallel,ipsi-contra,iconic,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
плакать,1-st,absent,straight,straight,palm,root,absent,neutral-supine,head-mid,absent,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; repeated,,
разрезать,all,absent,straight,straight,tips,ulnar,pointed,absent,hand-back,horisontal,distal-proxi,sraight,absent,absent,absent,absent,absent,palm,absent,tense,,
танцевать,1-st; 2-nd,absent,straight,straight,root,absent,wide,supine-prone,space,horisontal,absent,absent,absent,absent,absent,absent,absent,absent,absent,symmetrical; repeated; alternating,,
отважиться,absent,absent,absent,absent,root,palm,absent,absent,space,horisontal,proxi-distal; contra-ipsi,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
объявлять,1-st,absent,straight-curved,straight,tips,back,absent,absent,head-high,absent,contra-ipsi,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
приказать,all,closed-open,curved-straight,bent-straight,root,palm,pointed,absent,hand-back,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; tense,,
побеждать,absent,absent,absent,absent,root,absent,absent,supine-prone,space,horisontal,absent,absent,absent,absent,absent,absent,absent,absent,absent,tense,,
защищать,all,absent,curved,bent,root,palm,pointed,absent,space,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
грязь,all,absent,straight,straight,palm,palm,wide,absent,hand-palm,horisontal,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
direction,absent,absent,absent,absent,ulnar,tips,absent,absent,space,horisontal,contra-ipsi; proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
уменьшать,all,absent,straight,bent,ulnar,palm,pointed,absent,virtual object; space,horisontal,ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
отказываться,all,absent,straight,bent-straight,tips,back,pointed,absent,hand-palm,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,back,absent,tense,,
задерживать,absent,absent,absent,absent,ulnar,root,absent,absent,space,horisontal,distal-proxi,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
удалять,all,absent,straight,straight,ulnar,palm,pointed,absent,hand-narrow,horisontal,distal-proxi,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
доставлять,1-st; thumb,absent,curved,straight,palm,palm,absent,absent,virtual object; space,horisontal,ipsi-contra; contra-ipsi,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
отвергать,all,absent,straight,bent-straight,tips,back,pointed,absent,hand-palm,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,back,absent,tense,,
удалять волосы,1-st,closed,curved,absent,tips,back,absent,absent,head-high,absent,near-far,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating,,
лишать,1-st; 2-nd,absent,straight,straight,ulnar,palm,pointed,absent,hand-narrow,sagittal,distal-proxi,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical; tense,,
спускаться,1-st; 2-nd,absent,curved,straight-bent,tips,tips,wide,absent,space,horisontal,high-low; ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,repeated,,
отчаяться,all,absent,straight,straight,palm,palm,pointed,absent,hand-palm; trunk,absent,far-near,sraight,absent,absent,absent,absent,absent,ulnar,absent,tense,,
видеть,1-st,absent,straight,straight,tips,tips,absent,absent,head-high,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
ненавидеть,all,absent,straight,straight,root,palm,wide,absent,space,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
разрушать,all,absent,straight,bent-straight,ulnar,tips,pointed,absent,space,horisontal,ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; crossed,,
разъединять,all,absent,straight,straight,ulnar,palm,pointed,absent,hand-back,horisontal,distal-proxi,arc,absent,absent,absent,absent,absent,palm,absent,biderectional,,
ухудшаться,all,absent,straight,straight,radial,palm,pointed,absent,hand-palm,sagittal,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
посвящать,all,absent,straight,straight,ulnar,tips,pointed,absent,space,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
диктовать,all,absent,straight,straight,palm,back,pointed,absent,head-low; space,parallel,near-far; high-low,vawe,absent,absent,absent,absent,absent,absent,absent,absent,,
выполнить,all,absent,straight,straight,palm,tips,pointed,absent,hand-narrow,sagittal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
копать,all,absent,straight,bent,absent,ulnar,pointed,supine-prone,space,horisontal,ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,repeated,,
уменьшать,all,absent,straight,bent,palm,palm,pointed,absent,virtual object; space,horisontal,ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
окунать,1-st,closed,curved,straight,tips,tips,absent,absent,space,horisontal,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical,,
исчезать,all,closed,straight-curved,bent,palm,root,pointed,absent,head,absent,contra-ipsi,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
отпускать,1-st,closed,curved,straight,ulnar,tips,absent,absent,space,horisontal,proxi-distal,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
рассоединять,1-st; thumb,absent,curved,straight,tips,root,absent,absent,hand-palm,sagittal,near-far,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
видеть,1-st,absent,straight,straight,tips,tips,absent,absent,head-high,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
заметить,1-st,open,curved,straight,palm,palm,absent,absent,hand-back,parallel,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
не.нравиться,1-st,closed,curved,straight,tips,tips,absent,neutral-prone,head-low,absent,near-far,sraight,absent,absent,absent,absent,absent,absent,absent,tense,,
разбирать,1-st; 2-nd,absent,straight-curved,straight,palm,root,wide,absent,space,horisontal,contra-ipsi,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; crossed,,
распространять,all,closed,straight,bent,back,radial,pointed,absent,space,horisontal,proxi-distal; contra-ipsi,arc,absent,absent,absent,absent,absent,absent,absent,laceration; symmetrical; repeated,,
нырять,1-st; 2-nd,absent,straight,bent-straight,root,root,wide,absent,space,horisontal,high-low; contra-ipsi,iconic,absent,absent,absent,absent,absent,absent,absent,repeated,,
разделять,all,absent,straight,straight,ulnar,tips,pointed,absent,space,horisontal,proxi-distal; contra-ipsi,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
разделять,all,absent,straight,bent-straight,ulnar,ulnar,pointed,absent,hand-palm,horisontal,far-near,sraight,absent,absent,absent,absent,absent,back,absent,repeated,,
заниматься.гимнастикой,all,absent,straight,straight,tips,tips,pointed,absent,shoulder,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; alternating; repeated,,
доминировать,1-st,absent,absent,absent,ulnar,back,absent,absent,hand-palm; space,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
не.знать,all,absent,straight,straight,palm,back,pointed,absent,head-high,absent,near-far; contra-ipsi,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
не.понимать,1-st,absent,curved,straight,radial,root,absent,absent,head-mid,absent,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
вздремнуть,1-st,open-closed,straight,straight-bent,radial,absent,absent,absent,head-high,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
тянуть,absent,absent,absent,absent,tips,radial,absent,absent,virtual object; space,horisontal,contra-ipsi; ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,back
рисовать,1-st; 2-nd,absent,straight,straight,back,root,pointed,absent,hand-palm,sagittal,high-low,vawe,absent,absent,absent,absent,absent,absent,absent,absent,,
мечтать,all,absent,straight,straight-bent,palm,absent,wide,absent,head-high,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,repeated,,
дрейфовать,all,absent,straight,straight-bent,palm,palm,wide,absent,virtual object; space,horisontal,ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; biderectional,,
сверлить,1-st,absent,straight,straight,tips,tips,absent,absent,space,horisontal,high-low,iconic,absent,absent,absent,absent,absent,absent,absent,absent,,
пить,all,open,straight,bent,radial,radial,pointed,neutral-prone,head-low,absent,far-near,arc,absent,absent,absent,absent,absent,absent,absent,absent,,
капать,1-st,closed-open,straight,bent,tips,tips,absent,absent,space,horisontal,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,biderectional,,
полить,thumb; 4-th,absent,straight,straight,ulnar,tips,absent,absent,hand-palm,horisontal,iconic,circle-counterclock,absent,absent,absent,absent,absent,absent,absent,absent,,
выбыть,1-st; 2-nd,absent,curved,straight,tips,tips,wide,absent,hand-palm,horisontal,near-far,arc,absent,absent,absent,absent,absent,absent,absent,absent,,
зарабатывать,all,absent,curved,bent,back,ulnar,pointed,absent,hand-palm; virtual object,horisontal,distal-proxi,sraight,absent,absent,absent,absent,absent,back,absent,repeated,,palm
есть,all,closed,straight,bent,tips,tips,pointed,absent,head-low,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,repeated,,
наставлять,1-st; 2-nd,closed,straight,bent,root,tips,pointed,absent,hand-back,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,palm,absent,repeated,,
редактировать,1-st; 2-nd,closed,straight,bent,root,ulnar,pointed,absent,hand-narrow; space,horisontal,contra-ipsi; near-far,sraight; sraight,absent,absent,absent,absent,absent,palm,absent,repeated; biderectional,tips,
обучать,1-st; 2-nd,closed,straight,bent,root,tips,pointed,absent,hand-narrow,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,palm,absent,repeated,,
выбирать,1-st,open-closed,curved,straight,radial,back,absent,absent,hand-palm,sagittal,distal-proxi,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
поднимать,absent,absent,absent,absent,ulnar,radial,absent,supine-prone,space,horisontal,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,repeated,,
уничтожать,all,open-closed,straight-curved,straight-bent,palm,tips,wide-pointed,absent,hand-palm,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
вышивать,1-st,closed,curved,straight,tips,back,absent,absent,space,horisontal,high-low; contra-ipsi,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating; crossed,ulnar,
возникать,1-st,closed-open,curved-straight,bent-straight,back,tips,absent,absent,space,horisontal,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,tense,,
видно,1-st,absent,straight,straight,tips,tips,absent,absent,head-mid,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
обращать.внимание,1-st,absent,straight,straight,tips,tips,absent,absent,head-mid,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
нанимать,all,absent,straight,straight,back,ulnar,pointed,absent,space,horisontal,distal-proxi; ipsi-contra; contra-ipsi,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
позволять,1-st,closed,curved,straight,ulnar,tips,absent,absent,space,horisontal,proxi-distal; contra-ipsi,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
гравировать,thumb,absent,straight,straight,tips,tips,absent,prone-supine,hand-palm,horisontal,distal-proxi,vawe,absent,absent,absent,absent,absent,absent,absent,absent,,
увеличивать,thumb; 4-th,absent,straight,straight,palm,back,absent,absent,virtual object,horisontal,contra-ipsi; low-high,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
входить,all,absent,straight,straight,ulnar,tips,pointed,absent,hand-back,horisontal,proxi-distal,arc,absent,absent,absent,absent,absent,absent,absent,absent,,
завидовать,1-st,open,straight-curved,straight,tips,absent,absent,absent,trunk,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical,,
стирать,all,absent,straight,straight,palm,ulnar,pointed,absent,hand-palm,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
сбегать,1-st; 2-nd,closed-open,curved-straight,bent-straight,back,tips,pointed-wide,absent,hand-palm,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
уклоняться,absent,absent,straight,bent-straight,palm,root,wide,absent,space,parallel,contra-ipsi; low-high; high-low,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical,,
выкапывать,all,absent,curved,bent,palm,ulnar,pointed,supine-prone,space; virtual object,horisontal,ipsi-contra,iconic,absent,absent,absent,absent,absent,absent,absent,repeated,,
преувеличивать,thumb; 4-th,absent,straight,straight,palm,back,absent,absent,space,horisontal,low-high; contra-ipsi,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
обменивать,1-st; 2-nd,absent,straight,straight,absent,absent,wide,prone-supine,space,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,symmetrical; alternating; crossed,,
прощать,1-st,closed,curved,straight,tips,tips,absent,neutral-prone,head-low,absent,near-far,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
выдыхать,all,absent,straight,bent,palm,back,wide,absent,trunk,absent,near-far,sraight,absent,absent,absent,absent,absent,absent,absent,biderectional,,
истощать,1-st,open-closed,straight,bent,tips,tips,absent,prone-supine,hand-palm,horisontal,far-near,sraight,absent,absent,absent,absent,absent,back,absent,repeated,,
видеть,1-st,absent,straight,straight,tips,tips,absent,absent,head-mid,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
выставлять.картины,all,absent,straight,straight,palm,palm,absent,absent,space,parallel,near-far; contra-ipsi,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical; repeated; alternating,ulnar,
существовать,all,absent,straight,straight,ulnar,ulnar,pointed,absent,hand-palm,horisontal,far-near,sraight,absent,absent,absent,absent,absent,back,absent,repeated,,
ожидать,all,absent,straight,straight,radial,root,pointed,absent,trunk,absent,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,repeated,,
взрывать,absent,absent,absent,absent,palm,radial,absent,absent,space,parallel,contra-ipsi; low-high,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; crossed; tense,,
видеть,1-st,absent,straight,straight,tips,tips,absent,absent,head-mid,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
замечать,1-st,open,curved,straight,tips,tips,absent,absent,hand-back,horisontal,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
выражать,all,absent,absent,absent,palm,radial,wide,absent,trunk,absent,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
давать,all,absent,absent,absent,back,radial,pointed,absent,space,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
создавать,1-st,absent,straight,straight,tips,tips,absent,prone-supine,space,parallel,ipsi-contra,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
облегчать,all,absent,straight,straight,tips,palm,pointed,absent,head-low,absent,contra-ipsi,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
затухать,all,open-closed,straight-curved,straight-bent,back,root,wide-pointed,absent,space,parallel,high-low,vawe,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
падать,1-st; 2-nd,absent,straight,straight,tips,absent,wide,prone-supine,hand-palm,horisontal,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,,back
пукать,absent,absent,absent,absent,absent,absent,absent,neutral-prone,space,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical,,
кормить,1-st; thumb,absent,curved,straight,tips,tips,absent,absent,space,sagittal,far-near,sraight,absent,absent,absent,absent,absent,back,absent,repeated,,
чувствовать,1-st,absent,straight,straight,tips,tips,absent,absent,hand-back,horisontal,far-near,sraight,absent,absent,absent,absent,absent,palm,absent,biderectional; tense,,
