Sign,H1 FingerSelection,H1 Aperture,H1 Curve,H1 Bent,H1 Facing,H1 Focus,H1 Width,Dynamic Orientation,Location,Plane,Settings,Path,H2 FingerSelection,H2 Aperture,H2 Curve,H2 Bent,H2 Width,H2 Facing,H2 Focus,Manner,H1 Focus_2,H1 Facing_2
воевать,all,absent,straight,straight,palm,tips,wide,absent,space,horisontal,proxi-distal; ipsi-contra; contra-ipsi,sraight,absent,absent,absent,absent,absent,absent,absent,tense; symmetrical,,
финансировать,all,open-closed,straight,bent,back,tips,pointed,absent,hand-palm,horisontal,far-near,sraight,absent,absent,absent,absent,absent,back,absent,repeated,,
подходить,1-st,absent,straight,straight,back,tips,absent,absent,space,parallel,high-low; low-high,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; crossed,,
вспыхнуть,all,closed-open,curved-straight,bent-straight,back,tips,pointed-wide,absent,space,parallel,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; tense,,
убежать,1-st; 2-nd,closed-open,curved-straight,bent-straight,back,tips,pointed-wide,absent,hand-palm,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,palm,absent,tense,,
сгибать,absent,absent,absent,absent,palm,absent,absent,prone-neutral,virtual object,horisontal,absent,absent,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
течь,all,absent,straight,straight-bent,palm,tips,wide,absent,space,horisontal,ipsi-contra; contra-ipsi,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical,,
получиться,all,open-closed,straight-curved,straight-bent,back,ulnar,pointed,absent,hand-palm,horisontal,far-near,arc,absent,absent,absent,absent,absent,absent,absent,absent,,
нет,all,absent,straight,straight,palm,ulnar,pointed,absent,space,horisontal,contra-ipsi; proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
трепетать,all,absent,straight,straight,palm,absent,wide,absent,space,horisontal,ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; biderectional; alternating,,absent
летать.на.самолете,1-st; 4-th,absent,straight,straight,palm,tips,absent,absent,space,horisontal,ipsi-contra; low-high,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
фокусировать,all,open-closed,straight-curved,bent-straight,radial,palm,pointed,absent,head,absent,ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; crossed,,
преследовать,thumb,absent,straight,straight,back,back,absent,absent,hand-classifier; space,horisontal,far-near,vawe,thumb,absent,straight,straight,absent,ulnar,absent,symmetrical,,ulnar
"отслеживать, мониторить",1-st; 2-nd,absent,straight,straight,tips,palm,wide,absent,space,parallel,high-low; contra-ipsi,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; repeated,ulnar,
запрещать,1-st,absent,straight,straight,ulnar,ulnar,absent,absent,hand-back,horisontal,far-near,sraight,absent,absent,absent,absent,absent,palm,absent,repeated,,
забывать,all; thumb,open-closed,straight,bent,tips,palm,pointed,absent,head-high,absent,contra-ipsi,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
замораживать,absent,absent,absent,absent,back,ulnar,absent,prone-neutral,space,parallel,high-low,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
часто посещать,all,absent,straight,straight,ulnar,tips,pointed,absent,hand-back; space,horisontal,proxi-distal; ipsi-contra,sraight,absent,absent,absent,absent,absent,palm,absent,repeated,,
беспокоиться,all,open,curved,straight,tips,radial,pointed,absent,trunk,absent,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating,,
заниматься.сексом,all,absent,straight,straight,ulnar,tips,pointed,absent,trunk,absent,ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; crossed,,
потолстеть,absent,absent,absent,absent,ulnar,back,absent,absent,space,horisontal,contra-ipsi,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; laceration,,
преклонять колени,1-st; 2-nd,absent,straight-curved,straight,tips,absent,wide,absent,hand-palm,horisontal,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,,
уезжать,1-st,open-closed,straight,bent,root,tips,absent,absent,space,horisontal,proxi-distal; ipsi-contra; contra-ipsi,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
одеться,all,closed,straight,bent,tips,back,pointed,absent,trunk,absent,ipsi-contra,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
избавиться,absent,absent,absent,absent,absent,ulnar,absent,supine-prone,space,sagittal,high-low,absent,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
хихикать,1-st; 2-nd,absent,curved,straight,tips,tips,wide,absent,head-low,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,repeated,,
давать,all,open,straight,straight,absent,radial,pointed,neutral-supine,space,horisontal,proxi-distal,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
возвращать,1-st; 2-nd,absent,straight,straight,absent,back,wide,neutral-prone,space,horisontal,distal-proxi,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
сдаваться,all,absent,straight,straight,absent,back,pointed,absent,space,parallel,iconic,iconic,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
видеть,1-st,absent,straight,straight,tips,tips,absent,absent,head-mid,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
взглянуть,1-st; 2-nd,absent,straight,straight,tips,ulnar,wide,absent,space,horisontal,contra-ipsi,arc,absent,absent,absent,absent,absent,absent,absent,absent,,
идти,all,open,straight,straight,back,radial,pointed,absent,space,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating,,
входить,all,absent,straight,straight,ulnar,tips,pointed,absent,hand-back,horisontal,proxi-distal,arc,absent,absent,absent,absent,absent,absent,absent,absent,,
выходить,all,absent,straight,straight,back,tips,pointed,absent,hand-palm,horisontal,proxi-distal,arc,absent,absent,absent,absent,absent,absent,absent,absent,,
схватить,all,open-closed,straight-curved,straight-bent,palm,palm,wide-pointed,absent,virtual object; space,horisontal,far-near; high-low,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; tense,,
думать,1-st,absent,straight,straight,tips,tips,absent,absent,head-high,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
проникнуть,all,absent,straight,straight,palm,tips,wide,absent,hand-palm,sagittal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
натирать.на.терке,all,absent,curved,bent,palm,ulnar,pointed,absent,hand-palm,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,back,absent,repeated; biderectional,,
приветствовать,all,absent,straight,straight,palm,ulnar,pointed,absent,space,parallel,contra-ipsi,arc,absent,absent,absent,absent,absent,absent,absent,repeated,,
крепко держать,all,open-closed,straight-curved,straight-bent,palm,absent,wide-pointed,absent,space,horisontal,absent,absent,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
стонать,1-st,open,curved,straight,radial,ulnar,absent,absent,head-low,absent,near-far; contra-ipsi,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
шептаться,1-st; 2-nd,open-closed,straight,straight,radial,absent,pointed,absent,head-low,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical,,
обмануть,1-st; 4-th,absent,straight,straight,palm,palm,absent,absent,hand-back; space,horisontal,distal-proxi; proxi-distal,sraight,absent,absent,absent,absent,absent,palm,absent,repeated,tips,
всех,absent,absent,absent,absent,absent,ulnar,absent,absent,space,horisontal,contra-ipsi,arc,absent,absent,absent,absent,absent,palm,absent,absent,,
бить.молотком,absent,absent,absent,absent,ulnar,ulnar,absent,absent,virtual object,horisontal,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,repeated,,
случаться,all,absent,straight,straight,absent,absent,wide,prone-neutral,space,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical,,
вредить,1-st; 2-nd,absent,straight,straight,ulnar,back,pointed,absent,hand-narrow,sagittal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical,,
штриховать,all,absent,straight,straight,tips,palm,pointed,absent,hand-palm,sagittal,high-low,sraight,absent,absent,absent,absent,absent,back,absent,repeated; biderectional,,
видеть,1-st,absent,straight,straight,tips,tips,absent,absent,head-mid,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
ненавидеть,all,absent,straight,straight,palm,palm,wide,absent,space,parallel,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
вечер,all,absent,straight,bent,palm,palm,pointed,absent,hand-back,horisontal,far-near,sraight,absent,absent,absent,absent,absent,palm,absent,absent,,
есть,all,closed,straight,bent,tips,tips,pointed,absent,head-low,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,repeated,,
думать,1-st,absent,straight,straight,tips,tips,absent,absent,head-high,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
колебаться,all,absent,straight,straight,palm,palm,pointed,absent,space,horisontal,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating; biderectional,,
прятать,all,closed,straight,bent,tips,tips,pointed,absent,hand-palm,horisontal,far-near,arc,absent,absent,absent,absent,absent,absent,absent,absent,,
ударять.кулаком,absent,absent,absent,absent,palm,tips,absent,absent,space,horisontal,proxi-distal; ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
держать,all,open-closed,straight-curved,straight-bent,back,absent,wide-pointed,absent,space,horisontal,absent,absent,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
обнимать,all,absent,straight,straight,ulnar,tips,pointed,absent,space,horisontal,ipsi-contra,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical; crossed,,
игнорировать,all,open-closed,straight,bent,radial,tips,pointed; pointed-wide,absent,head-side,absent,near-far,sraight,absent,absent,absent,absent,absent,absent,absent,biderectional,,
нарушать,1-st; thumb,absent,curved,straight,radial,tips,absent,absent,hand-classifier; space,horisontal,distal-proxi,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical; tense,,
выполнять,all,absent,straight,straight,palm,tips,pointed,absent,hand-narrow,sagittal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
улучшать,all,absent,straight,straight,radial,back,pointed,absent,hand-palm,sagittal,low-high,sraight,absent,absent,absent,absent,absent,back,absent,laceration,,
включать,all,open-closed,straight,bent,back,tips,wide-pointed,absent,hand-palm,parallel,high-low,arc,absent,absent,absent,absent,absent,absent,absent,absent,,
"включать, инкорпорировать",all,open-closed,straight,bent,back,tips,pointed,absent,hand-palm,sagittal,high-low,arc,absent,absent,absent,absent,absent,absent,absent,absent,,
увеличивать,thumb; 4-th,absent,straight,straight,palm,ulnar,absent,absent,space,horisontal,proxi-distal; contra-ipsi,absent,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
вскружить голову,1-st,absent,straight,straight,tips,tips,absent,absent,head-high,absent,ipsi-contra,circle-counterclock,absent,absent,absent,absent,absent,absent,absent,repeated,,
"наводнять, наполнять",all,absent,straight,straight,palm,tips,wide,absent,space,horisontal,ipsi-contra; proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
проникать,1-st,absent,straight,straight,tips,tips,absent,absent,head-mid; hand-palm,sagittal,far-near; far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,radial
надувать,all,closed-open,curved-straight,bent-straight,palm,back,pointed-wide,absent,virtual object; head-low,horisontal,contra-ipsi,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; crossed,,
информировать,1-st,absent,straight-curved,straight,tips,radial,absent,absent,head-high,horisontal,contra-ipsi; proxi-distal,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
начинать,1-st,absent,straight,straight,radial,tips,absent,absent,hand-palm,parallel,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
уколоть,1-st,open-closed,straight,bent,back,back,absent,absent,arm,absent,far-near,absent,absent,absent,absent,absent,absent,absent,absent,absent,,
dem,1-st,absent,straight,straight,tips,tips,absent,absent,arm,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
кровь,all,absent,straight,bent-straight,palm,ulnar,absent,absent,arm,absent,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; alternating,,
обновлять,all,absent,curved,bent,back,tips,pointed,absent,hand-palm,parallel,far-near; low-high,arc,absent,absent,absent,absent,absent,back,absent,repeated,,
настаивать,1-st,absent,straight,straight,tips,tips,absent,absent,hand-palm,horisontal,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
проверять,1-st; thumb,absent,curved,straight,radial,tips,absent,absent,hand-classifier,horisontal,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical,,
оскорбить,1-st,absent,straight-curved,straight,tips,back,absent,absent,head-low,absent,near-far; ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,tense,,
интегрировать,all,absent,straight,straight,palm,tips,wide,absent,space,horisontal,ipsi-contra; proxi-distal,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical; crossed,,
вмешиваться,1-st,absent,straight,straight,tips,tips,absent,absent,head-mid; hand-palm,sagittal,far-near; far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,radial
вмешиваться,1-st,absent,straight,straight,tips,tips,absent,absent,head-mid; hand-palm,sagittal,far-near; far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,radial
прерывать,1-st; 2-nd,absent,curved,straight,tips,ulnar,wide,absent,hand-classifier,parallel,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; tense,,
знакомить,all,open,curved,straight,palm,palm,pointed,supine-prone,hand-palm,horisontal,far-near,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
переворачивать,absent,absent,straight,straight,palm,back,pointed,prone-supine,space; virtual object,horisontal,contra-ipsi,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
приглашать,all,absent,straight,bent,ulnar,ulnar,pointed,absent,space,horisontal,distal-proxi,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical,,
"гладить, утюжить",thumb; 4-th,absent,straight,straight,tips,radial,absent,absent,hand-palm,horisontal,distal-proxi,sraight,absent,absent,absent,absent,absent,back,absent,biderectional,,
видеть,1-st,absent,straight,straight,tips,tips,absent,absent,head-mid,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
раздражать,2-nd,closed-open,curved,absent,tips,tips,absent,absent,trunk,absent,near-far,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical,,
издавать,absent,absent,absent,absent,palm,palm,absent,absent,hand-palm; space,horisontal,far-near; proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical,tips,
угрожать,1-st,absent,straight,straight,ulnar,tips,absent,absent,space,horisontal,proxi-distal; ipsi-contra; contra-ipsi,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical,,
присоединять,1-st,open,curved,straight,ulnar,tips,absent,absent,space,horisontal,ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
вступить,1-st; thumb,absent,straight,straight,ulnar,tips,absent,absent,space,horisontal,proxi-distal,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
вибрировать,all,absent,straight,straight,palm,absent,wide,prone-neutral,space; virtual object,horisontal,absent,absent,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating,,
перемешивать,all,absent,straight,straight,tips,ulnar,pointed,absent,space,horisontal,contra-ipsi,circle-clock,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating; crossed,,
прыгать,1-st; 2-nd,absent,straight-curved,straight,tips,root,wide,absent,hand-palm,horisontal,low-high,sraight,absent,absent,absent,absent,absent,back,absent,repeated; biderectional,,
ударить,absent,absent,absent,absent,palm,tips,absent,absent,space,horisontal,ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,tense,,
похитить,absent,absent,absent,absent,absent,radial,absent,supine-prone,space,horisontal,ipsi-contra,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
убить,absent,absent,absent,absent,radial,palm,absent,absent,hand-palm,sagittal,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
целовать,1-st; 2-nd,absent,straight,straight,absent,palm,pointed,supine-prone,head-low,absent,near-far,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
стоять на коленях,1-st; 2-nd,absent,straight-curved,straight,tips,absent,wide,absent,hand-palm,horisontal,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,,
вязать,1-st,absent,straight,straight,palm,absent,absent,prone-neutral,space; virtual object,horisontal,absent,absent,absent,absent,absent,absent,absent,absent,absent,symmetrical; crossed,,
свалить,all,absent,straight,straight,back,back,pointed,absent,hand-palm,horisontal,far-near,arc,absent,absent,absent,absent,absent,absent,absent,absent,,
недоставать,all,open-closed,curved,straight,tips,ulnar,pointed,absent,neck,absent,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,tense,,
берег,all,absent,straight,straight,back,root,pointed,absent,arm,absent,proxi-distal,vawe,absent,absent,absent,absent,absent,absent,absent,absent,,
корабль.плывет.к,all,absent,straight,straight,palm,tips,pointed,absent,virtual object; space,horisontal,proxi-distal; ipsi-contra; contra-ipsi,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
продолжать,all,absent,straight,straight,palm,palm,pointed,absent,hand-palm,horisontal,high-low; near-far,sraight,absent,absent,absent,absent,absent,back,absent,repeated,root,
уложить,all,absent,straight,straight,back,back,pointed,absent,hand-palm,horisontal,far-near,arc,absent,absent,absent,absent,absent,absent,absent,absent,,
вести за собой,thumb,absent,straight,straight,ulnar,tips,absent,absent,space,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; crossed,,
прыгать,1-st; 2-nd,absent,curved,straight,tips,tips,wide,absent,hand-palm,horisontal,near-far,arc,absent,absent,absent,absent,absent,absent,absent,absent,,
учить,1-st; 2-nd,closed,straight,bent,radial,tips,pointed,absent,head-high,absent,high-low,arc,absent,absent,absent,absent,absent,absent,absent,repeated,,
уезжать,1-st,open-closed,straight,bent,root,tips,absent,absent,space,horisontal,proxi-distal,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
читать лекцию,all,absent,straight,straight,palm,back,pointed,absent,head-low,absent,near-far; high-low,vawe,absent,absent,absent,absent,absent,absent,absent,absent,,
одалживать,all,absent,straight-curved,straight-bent,tips,back,pointed,absent,space,horisontal,distal-proxi,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
одалживать,all,absent,straight-curved,straight-bent,tips,back,pointed,absent,space,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
человек,1-st,open,curved,straight,tips,ulnar,absent,absent,space,parallel,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
человек,1-st,open,curved,straight,tips,ulnar,absent,absent,space,parallel,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
связь,1-st,absent,curved,straight,palm,palm,absent,supine-prone,hand-classifier,horisontal,far-near,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical; crossed,,
лгать,1-st; 4-th,absent,straight,straight,palm,tips,absent,absent,hand-back,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical,,
лежать,all,absent,straight,straight,palm,palm,pointed,absent,hand-palm,horisontal,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
приподнять,all,open-closed,straight,bent,back,palm,pointed,absent,space,horisontal,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
нравиться,1-st,closed,curved,straight,tips,tips,absent,absent,head-low,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
хромать,1-st,absent,straight,straight,tips,tips,absent,absent,space,horisontal,high-low; iconic,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating,,
слушать,all,open,curved,straight,radial,radial,pointed,absent,head-side,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,repeated,,
жить,all,absent,straight,bent,ulnar,ulnar,pointed,absent,trunk,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical,,
ненавидеть,1-st; 2-nd,absent,curved,straight,tips,ulnar,wide,absent,head-mid,absent,ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,repeated,,
видеть,1-st,absent,straight,straight,tips,tips,absent,absent,head-mid,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
ненавидеть,all,absent,straight,straight,palm,palm,wide,absent,space,parallel,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
запирать,1-st; thumb,absent,curved,straight,absent,tips,absent,supine-neutral,hand-palm,sagittal,high-low,arc,absent,absent,absent,absent,absent,back,absent,tense,,
глядеть,1-st; 2-nd,absent,straight,straight,palm,tips,wide,absent,space,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
смотреть,1-st; 2-nd,absent,straight,straight,palm,back,wide,absent,head-mid,absent,near-far,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
туда,1-st,absent,straight,straight,tips,tips,absent,absent,space,horisontal,x-y,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
искать,1-st; 2-nd,absent,curved,straight,tips,tips,wide,absent,virtual object; space,horisontal,far-near; high-low,arc,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating,,
исчезнуть,1-st; 2-nd,absent,straight,straight,palm,ulnar,pointed,absent,hand-narrow,sagittal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
любить,all,absent,straight,straight,palm,ulnar,pointed,absent,head-low; trunk,absent,high-low,arc,absent,absent,absent,absent,absent,absent,absent,absent,,
опустить,all,absent,straight,bent,palm,root,pointed,absent,space,parallel,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
видеть,1-st,absent,straight,straight,tips,tips,absent,absent,head-mid,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
соблазнять,all,absent,straight,bent-straight,root,palm,wide,absent,space,horisontal,distal-proxi,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating,,
поддерживать,all,open-closed,straight-curved,straight-bent,back,palm,wide-pointed,absent,space,horisontal,low-high,spiral,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
целоваться,absent,absent,absent,absent,palm,ulnar,absent,absent,hand-classifier,sagittal,in situ,circle-clock,absent,absent,absent,absent,absent,palm,absent,symmetrical; alternating,,
управлять,1-st; thumb,absent,curved,straight,ulnar,tips,pointed,absent,space,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating; biderectional,,
жениться,1-st,closed,curved,straight,tips,radial,absent,absent,hand-back,horisontal,distal-proxi,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
подходить,1-st,absent,straight,straight,back,tips,absent,absent,space,parallel,high-low; low-high,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; crossed,,
измерять,1-st,closed,curved,straight,radial,ulnar,absent,absent,hand-classifier,horisontal,near-far,vawe,absent,absent,absent,absent,absent,absent,absent,symmetrical; laceration,,
встречаться,1-st,absent,straight,straight,root,palm,absent,absent,space,horisontal,ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
думать,1-st,absent,straight,straight,tips,tips,absent,absent,head-high,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
запоминать,absent,absent,absent,absent,absent,absent,absent,prone-neutral,space,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,symmetrical; crossed,,
